sep=,
"Time","Steam (psig)"
2021-10-07 23:00:00,70.1 psig
2021-10-07 23:15:00,74.5 psig
2021-10-07 23:30:00,75.2 psig
2021-10-07 23:45:00,74.1 psig
2021-10-08 00:00:00,73.3 psig
2021-10-08 00:15:00,74.1 psig
2021-10-08 00:30:00,74.3 psig
2021-10-08 00:45:00,74.0 psig
2021-10-08 01:00:00,74.1 psig
2021-10-08 01:15:00,72.7 psig
2021-10-08 01:30:00,73.9 psig
2021-10-08 01:45:00,74.3 psig
2021-10-08 02:00:00,73.7 psig
2021-10-08 02:15:00,73.5 psig
2021-10-08 02:30:00,74.3 psig
2021-10-08 02:45:00,72.9 psig
2021-10-08 03:00:00,74.6 psig
2021-10-08 03:15:00,72.4 psig
2021-10-08 03:30:00,73.4 psig
2021-10-08 03:45:00,73.0 psig
2021-10-08 04:00:00,73.8 psig
2021-10-08 04:15:00,75.0 psig
2021-10-08 04:30:00,73.9 psig
2021-10-08 04:45:00,72.8 psig
2021-10-08 05:00:00,73.6 psig
2021-10-08 05:15:00,75.3 psig
2021-10-08 05:30:00,72.9 psig
2021-10-08 05:45:00,73.2 psig
2021-10-08 06:00:00,74.2 psig
2021-10-08 06:15:00,74.6 psig
2021-10-08 06:30:00,72.9 psig
2021-10-08 06:45:00,73.2 psig
2021-10-08 07:00:00,74.6 psig
2021-10-08 07:15:00,74.4 psig
2021-10-08 07:30:00,73.1 psig
2021-10-08 07:45:00,72.8 psig
2021-10-08 08:00:00,74.9 psig
2021-10-08 08:15:00,74.5 psig
2021-10-08 08:30:00,73.0 psig
2021-10-08 08:45:00,73.3 psig
2021-10-08 09:00:00,74.2 psig
2021-10-08 09:15:00,75.2 psig
2021-10-08 09:30:00,72.4 psig
2021-10-08 09:45:00,72.6 psig
2021-10-08 10:00:00,73.1 psig
2021-10-08 10:15:00,74.2 psig
2021-10-08 10:30:00,75.1 psig
2021-10-08 10:45:00,73.9 psig
2021-10-08 11:00:00,72.3 psig
2021-10-08 11:15:00,73.8 psig
2021-10-08 11:30:00,74.8 psig
2021-10-08 11:45:00,74.0 psig
2021-10-08 12:00:00,72.2 psig
2021-10-08 12:15:00,73.8 psig
2021-10-08 12:30:00,74.6 psig
