Year,Week,Observed Number
2017,2,1192
2017,3,1142
2017,4,1207
2017,5,1143
2017,6,1159
2017,7,1115
2017,8,1064
2017,9,1056
2017,10,1066
2017,11,1109
2017,12,1071
2017,13,986
2017,14,990
2017,15,1053
2017,16,1038
2017,17,1032
2017,18,1010
2017,19,993
2017,20,1081
2017,21,1001
2017,22,978
2017,23,925
2017,24,995
2017,25,981
2017,26,943
2017,27,1006
2017,28,928
2017,29,969
2017,30,945
2017,31,971
2017,32,973
2017,33,1001
2017,34,978
2017,35,979
2017,36,976
2017,37,1007
2017,38,983
2017,39,1039
2017,40,1011
2017,41,980
2017,42,1030
2017,43,1073
2017,44,1041
2017,45,1052
2017,46,1077
2017,47,1041
2017,48,1088
2017,49,1001
2017,50,1139
2017,51,1153
2017,52,1205
2018,1,1351
2018,2,1331
2018,3,1171
2018,4,1277
2018,5,1171
2018,6,1218
2018,7,1197
2018,8,1084
2018,9,1122
2018,10,1139
2018,11,1070
2018,12,1033
2018,13,1008
2018,14,1065
2018,15,1093
2018,16,1058
2018,17,978
2018,18,1006
2018,19,928
2018,20,957
2018,21,1001
2018,22,981
2018,23,947
2018,24,987
2018,25,1046
2018,26,976
2018,27,1036
2018,28,1015
2018,29,929
2018,30,911
2018,31,951
2018,32,989
2018,33,983
2018,34,975
2018,35,975
2018,36,1008
2018,37,958
2018,38,999
2018,39,981
2018,40,1044
2018,41,1051
2018,42,1062
2018,43,1089
2018,44,1105
2018,45,1057
2018,46,1038
2018,47,1077
2018,48,1094
2018,49,1112
2018,50,1079
2018,51,1099
2018,52,1093
2019,1,1170
2019,2,1106
2019,3,1158
2019,4,1157
2019,5,1116
2019,6,1225
2019,7,1104
2019,8,1073
2019,9,1087
2019,10,1102
2019,11,1091
2019,12,1036
2019,13,1097
2019,14,1038
2019,15,1054
2019,16,955
2019,17,954
2019,18,1008
2019,19,1033
2019,20,1049
2019,21,1049
2019,22,888
2019,23,1040
2019,24,976
2019,25,1007
2019,26,987
2019,27,979
2019,28,960
2019,29,1031
2019,30,1016
2019,31,1040
2019,32,958
2019,33,962
2019,34,958
2019,35,935
2019,36,936
2019,37,970
2019,38,1025
2019,39,991
2019,40,1050
2019,41,1097
2019,42,1058
2019,43,1047
2019,44,970
2019,45,1118.5
2019,46,1104.5
2019,47,1047
2019,48,1019.5
2019,49,1160
2019,50,1139
2019,51,1125.5
2019,52,1143
