Room,temperature,humidity,Time
O215,70.1,29.1,2021-04-18 11:04:46+00:00
O215,70.1,29.1,2021-04-18 11:03:46+00:00
O215,70.1,29.1,2021-04-18 11:02:46+00:00
O215,70.1,29.2,2021-04-18 11:01:46+00:00
O215,70,29.2,2021-04-18 11:00:46+00:00
O215,70.1,29.2,2021-04-18 10:59:46+00:00
O215,70,29.3,2021-04-18 10:58:46+00:00
O215,70,29.3,2021-04-18 10:56:46+00:00
O215,70,29.3,2021-04-18 10:55:46+00:00
O215,70,29.3,2021-04-18 10:54:46+00:00
O215,70,29.4,2021-04-18 10:52:46+00:00
O215,70,29.4,2021-04-18 10:51:46+00:00
O215,70,29.4,2021-04-18 10:48:46+00:00
O215,70,29.4,2021-04-18 10:47:46+00:00
O215,70,29.5,2021-04-18 10:46:46+00:00
O215,70,29.5,2021-04-18 10:43:46+00:00
O215,69.9,29.5,2021-04-18 10:42:46+00:00
O215,69.9,29.6,2021-04-18 10:39:46+00:00
O215,69.9,29.6,2021-04-18 10:37:46+00:00
O215,69.9,29.6,2021-04-18 10:35:46+00:00
O215,69.9,29.7,2021-04-18 10:33:46+00:00
O215,69.9,29.7,2021-04-18 10:31:46+00:00
O215,69.9,29.7,2021-04-18 10:29:46+00:00
O215,69.9,29.7,2021-04-18 10:28:46+00:00
O215,69.9,29.8,2021-04-18 10:27:46+00:00
O215,69.9,29.8,2021-04-18 10:26:46+00:00
O215,69.9,29.7,2021-04-18 10:23:46+00:00
O215,69.8,29.8,2021-04-18 10:22:46+00:00
O215,69.8,29.8,2021-04-18 10:20:46+00:00
O215,69.8,29.8,2021-04-18 10:19:46+00:00
O215,69.8,29.8,2021-04-18 10:18:46+00:00
O215,69.8,29.9,2021-04-18 10:17:46+00:00
O215,69.8,29.9,2021-04-18 10:15:46+00:00
O215,69.8,29.9,2021-04-18 10:14:46+00:00
O215,69.8,30,2021-04-18 10:13:46+00:00
O215,69.8,30,2021-04-18 10:12:46+00:00
O215,69.8,30,2021-04-18 10:11:46+00:00
O215,69.8,30,2021-04-18 10:08:46+00:00
O215,69.7,30,2021-04-18 10:04:46+00:00
O215,69.7,30.1,2021-04-18 10:03:46+00:00
O215,69.7,30.1,2021-04-18 10:02:46+00:00
O215,69.7,30.1,2021-04-18 09:59:46+00:00
O215,69.7,30.1,2021-04-18 09:58:46+00:00
O215,69.7,30.2,2021-04-18 09:57:46+00:00
O215,69.7,30.2,2021-04-18 09:56:46+00:00
O215,69.7,30.2,2021-04-18 09:55:46+00:00
O215,69.7,30.2,2021-04-18 09:54:46+00:00
O215,69.6,30.2,2021-04-18 09:52:46+00:00
O215,69.6,30.3,2021-04-18 09:51:46+00:00
O215,69.6,30.3,2021-04-18 09:50:46+00:00
O215,69.6,30.3,2021-04-18 09:49:46+00:00
O215,69.6,30.4,2021-04-18 09:48:46+00:00
O215,69.6,30.3,2021-04-18 09:47:46+00:00
O215,69.6,30.4,2021-04-18 09:46:46+00:00
O215,69.6,30.4,2021-04-18 09:45:46+00:00
O215,69.6,30.4,2021-04-18 09:44:46+00:00
O215,69.6,30.4,2021-04-18 09:42:46+00:00
O215,69.6,30.4,2021-04-18 09:41:46+00:00
O215,69.5,30.4,2021-04-18 09:39:46+00:00
O215,69.5,30.5,2021-04-18 09:38:46+00:00
O215,69.5,30.5,2021-04-18 09:36:46+00:00
O215,69.5,30.5,2021-04-18 09:35:46+00:00
O215,69.5,30.6,2021-04-18 09:33:46+00:00
O215,69.5,30.6,2021-04-18 09:32:46+00:00
O215,69.5,30.6,2021-04-18 09:29:46+00:00
O215,69.5,30.6,2021-04-18 09:28:46+00:00
O215,69.5,30.6,2021-04-18 09:27:46+00:00
O215,69.4,30.6,2021-04-18 09:24:46+00:00
O215,69.4,30.7,2021-04-18 09:23:46+00:00
O215,69.4,30.7,2021-04-18 09:21:46+00:00
O215,69.4,30.7,2021-04-18 09:20:46+00:00
O215,69.4,30.7,2021-04-18 09:17:46+00:00
O215,69.4,30.7,2021-04-18 09:16:46+00:00
O215,69.4,30.7,2021-04-18 09:15:46+00:00
O215,69.4,30.7,2021-04-18 09:12:46+00:00
O215,69.3,30.7,2021-04-18 09:10:46+00:00
O215,69.3,30.8,2021-04-18 09:09:46+00:00
O215,69.3,30.7,2021-04-18 09:07:46+00:00
O215,69.3,30.8,2021-04-18 09:06:46+00:00
O215,69.3,30.7,2021-04-18 09:05:46+00:00
O215,69.3,30.7,2021-04-18 09:03:46+00:00
O215,69.3,30.8,2021-04-18 09:02:46+00:00
O215,69.3,30.8,2021-04-18 08:59:46+00:00
O215,69.3,30.7,2021-04-18 08:58:46+00:00
O215,69.3,30.8,2021-04-18 08:55:46+00:00
O215,69.3,30.8,2021-04-18 08:52:46+00:00
O215,69.2,30.8,2021-04-18 08:49:46+00:00
O215,69.2,30.9,2021-04-18 08:46:46+00:00
O215,69.2,30.9,2021-04-18 08:45:46+00:00
O215,69.2,30.9,2021-04-18 08:44:46+00:00
O215,69.2,30.9,2021-04-18 08:43:46+00:00
O215,69.2,30.9,2021-04-18 08:42:46+00:00
O215,69.2,30.9,2021-04-18 08:41:46+00:00
O215,69.2,30.9,2021-04-18 08:40:46+00:00
O215,69.2,30.9,2021-04-18 08:34:46+00:00
O215,69.2,31,2021-04-18 08:33:46+00:00
O215,69.2,31,2021-04-18 08:25:46+00:00
O215,69.2,31,2021-04-18 08:21:46+00:00
O215,69.2,31,2021-04-18 08:20:46+00:00
O215,69.2,31,2021-04-18 08:19:46+00:00
O215,69.2,31,2021-04-18 08:18:46+00:00
O215,69.2,31,2021-04-18 08:16:46+00:00
O215,69.2,31,2021-04-18 08:09:46+00:00
O215,69.2,30.9,2021-04-18 08:03:46+00:00
O215,69.2,30.8,2021-04-18 07:55:46+00:00
O215,69.2,30.8,2021-04-18 07:54:46+00:00
O215,69.2,30.8,2021-04-18 07:53:46+00:00
O215,69.2,30.8,2021-04-18 07:49:46+00:00
O215,69.2,30.8,2021-04-18 07:48:46+00:00
O215,69.2,30.8,2021-04-18 07:47:46+00:00
O215,69.2,30.8,2021-04-18 07:45:46+00:00
O215,69.2,30.8,2021-04-18 07:41:46+00:00
O215,69.2,30.8,2021-04-18 07:40:46+00:00
O215,69.2,30.8,2021-04-18 07:38:46+00:00
O215,69.2,30.8,2021-04-18 07:37:46+00:00
O215,69.2,30.8,2021-04-18 07:33:46+00:00
O215,69.3,30.8,2021-04-18 07:32:46+00:00
O215,69.2,30.8,2021-04-18 07:28:46+00:00
O215,69.3,30.8,2021-04-18 07:23:46+00:00
O215,69.3,30.8,2021-04-18 07:22:46+00:00
O215,69.3,30.8,2021-04-18 07:16:46+00:00
O215,69.3,30.8,2021-04-18 07:14:46+00:00
O215,69.3,30.8,2021-04-18 07:12:46+00:00
O215,69.3,30.8,2021-04-18 07:09:46+00:00
O215,69.3,30.8,2021-04-18 07:05:46+00:00
O215,69.4,30.7,2021-04-18 07:03:46+00:00
O215,69.4,30.8,2021-04-18 07:02:46+00:00
O215,69.4,30.7,2021-04-18 07:01:46+00:00
O215,69.4,30.8,2021-04-18 06:57:46+00:00
O215,69.4,30.8,2021-04-18 06:56:46+00:00
O215,69.4,30.8,2021-04-18 06:54:46+00:00
O215,69.4,30.8,2021-04-18 06:51:46+00:00
O215,69.4,30.8,2021-04-18 06:50:46+00:00
O215,69.5,30.8,2021-04-18 06:46:46+00:00
O215,69.5,30.8,2021-04-18 06:43:46+00:00
O215,69.5,30.9,2021-04-18 06:42:46+00:00
O215,69.5,30.8,2021-04-18 06:41:46+00:00
O215,69.5,30.8,2021-04-18 06:40:46+00:00
O215,69.5,30.8,2021-04-18 06:39:46+00:00
O215,69.5,30.8,2021-04-18 06:37:46+00:00
O215,69.5,30.8,2021-04-18 06:36:46+00:00
O215,69.5,30.8,2021-04-18 06:35:46+00:00
O215,69.5,30.8,2021-04-18 06:34:46+00:00
O215,69.5,30.8,2021-04-18 06:32:46+00:00
O215,69.5,30.8,2021-04-18 06:30:46+00:00
O215,69.5,30.8,2021-04-18 06:23:46+00:00
O215,69.5,30.8,2021-04-18 06:22:46+00:00
O215,69.5,30.8,2021-04-18 06:16:46+00:00
O215,69.6,30.8,2021-04-18 06:13:46+00:00
O215,69.6,30.8,2021-04-18 06:10:46+00:00
O215,69.6,30.7,2021-04-18 06:08:46+00:00
O215,69.6,30.7,2021-04-18 06:04:46+00:00
O215,69.6,30.7,2021-04-18 05:59:46+00:00
O215,69.6,30.7,2021-04-18 05:58:46+00:00
O215,69.6,30.6,2021-04-18 05:57:46+00:00
O215,69.6,30.7,2021-04-18 05:55:46+00:00
O215,69.7,30.6,2021-04-18 05:49:46+00:00
O215,69.7,30.6,2021-04-18 05:47:46+00:00
O215,69.7,30.6,2021-04-18 05:42:46+00:00
O215,69.7,30.5,2021-04-18 05:39:46+00:00
O215,69.7,30.5,2021-04-18 05:36:46+00:00
O215,69.8,30.5,2021-04-18 05:35:46+00:00
O215,69.8,30.5,2021-04-18 05:30:46+00:00
O215,69.8,30.5,2021-04-18 05:26:46+00:00
O215,69.8,30.4,2021-04-18 05:25:46+00:00
O215,69.8,30.4,2021-04-18 05:24:46+00:00
O215,69.8,30.4,2021-04-18 05:23:46+00:00
O215,69.8,30.5,2021-04-18 05:21:46+00:00
O215,69.8,30.4,2021-04-18 05:17:46+00:00
O215,69.8,30.4,2021-04-18 05:13:46+00:00
O215,69.9,30.4,2021-04-18 05:10:46+00:00
O215,69.9,30.4,2021-04-18 05:07:46+00:00
O215,69.9,30.3,2021-04-18 05:06:46+00:00
O215,69.9,30.4,2021-04-18 05:05:46+00:00
O215,69.9,30.3,2021-04-18 05:03:46+00:00
O215,69.9,30.3,2021-04-18 05:00:46+00:00
O215,69.9,30.2,2021-04-18 04:57:46+00:00
O215,69.9,30.2,2021-04-18 04:50:46+00:00
O215,69.9,30.2,2021-04-18 04:47:46+00:00
O215,70,30.1,2021-04-18 04:45:46+00:00
O215,69.9,30.1,2021-04-18 04:44:46+00:00
O215,70,30.1,2021-04-18 04:43:46+00:00
O215,70,30.1,2021-04-18 04:39:46+00:00
O215,70,30,2021-04-18 04:38:46+00:00
O215,70,30,2021-04-18 04:36:46+00:00
O215,70,30,2021-04-18 04:34:46+00:00
O215,70,30,2021-04-18 04:30:46+00:00
O215,70,30,2021-04-18 04:29:46+00:00
O215,70,30,2021-04-18 04:25:46+00:00
O215,70.1,30,2021-04-18 04:24:46+00:00
O215,70,30,2021-04-18 04:22:46+00:00
O215,70.1,29.9,2021-04-18 04:19:46+00:00
O215,70.1,29.9,2021-04-18 04:18:46+00:00
O215,70.1,29.9,2021-04-18 04:15:46+00:00
O215,70.1,29.9,2021-04-18 04:14:46+00:00
O215,70.1,29.9,2021-04-18 04:13:46+00:00
O215,70.1,29.9,2021-04-18 04:09:46+00:00
O215,70.1,29.9,2021-04-18 04:05:46+00:00
O215,70.1,29.9,2021-04-18 04:04:46+00:00
O215,70.1,29.9,2021-04-18 04:03:46+00:00
O215,70.1,29.9,2021-04-18 04:02:46+00:00
O215,70.1,29.9,2021-04-18 04:00:46+00:00
O215,70.1,29.8,2021-04-18 03:58:46+00:00
O215,70.1,29.8,2021-04-18 03:53:46+00:00
O215,70.2,29.8,2021-04-18 03:52:46+00:00
O215,70.1,29.8,2021-04-18 03:51:46+00:00
O215,70.2,29.8,2021-04-18 03:48:46+00:00
O215,70.2,29.8,2021-04-18 03:47:46+00:00
O215,70.2,29.7,2021-04-18 03:46:46+00:00
O215,70.2,29.7,2021-04-18 03:45:46+00:00
O215,70.2,29.7,2021-04-18 03:39:46+00:00
O215,70.2,29.7,2021-04-18 03:33:46+00:00
O215,70.2,29.7,2021-04-18 03:32:46+00:00
O215,70.2,29.7,2021-04-18 03:29:46+00:00
O215,70.2,29.7,2021-04-18 03:28:46+00:00
O215,70.2,29.7,2021-04-18 03:27:46+00:00
O215,70.2,29.7,2021-04-18 03:23:46+00:00
O215,70.2,29.6,2021-04-18 03:20:46+00:00
O215,70.2,29.6,2021-04-18 03:18:46+00:00
O215,70.3,29.6,2021-04-18 03:16:46+00:00
O215,70.3,29.5,2021-04-18 03:13:46+00:00
O215,70.3,29.6,2021-04-18 03:10:46+00:00
O215,70.3,29.5,2021-04-18 03:08:46+00:00
O215,70.3,29.6,2021-04-18 03:02:46+00:00
O215,70.3,29.5,2021-04-18 03:01:46+00:00
O215,70.3,29.6,2021-04-18 03:00:46+00:00
O215,70.3,29.5,2021-04-18 02:56:46+00:00
O215,70.3,29.5,2021-04-18 02:55:46+00:00
