Time,Feed (lpm),Concentrate (lpm),Permeate (lpm),Membrane Feed (psig),Concentrate (psig),Permeate (psig),Feed (ppm),Concentrate (ppm),Permeate (ppm),Permeate Temp (C)
 2021-03-29 12:10:50,5.54,5.01,0.52,35.05,33.08,-1.2,345.06,383.52,,
 2021-03-29 12:10:51,5.54,5.01,0.52,35.05,33.08,-1.2,345.06,383.52,,
 2021-03-29 12:10:52,5.54,5.01,0.52,35.05,33.08,-1.2,345.06,383.52,,
 2021-03-29 12:10:53,5.54,5.01,0.52,35.05,33.08,-1.2,345.06,383.52,,
 2021-03-29 12:10:54,5.54,5.01,0.52,35.22,33.25,-1.2,345.06,383.4,,
 2021-03-29 12:10:55,5.54,5.01,0.52,35.22,33.25,-1.2,345.06,383.4,,
 2021-03-29 12:10:56,5.54,5.01,0.52,35.22,33.37,-1.2,345.18,383.52,,
 2021-03-29 12:10:57,5.54,5.01,0.52,35.22,33.37,-1.2,345.18,383.52,,
 2021-03-29 12:10:58,5.54,5.01,0.52,34.87,33.37,-1.2,345.18,383.52,,
 2021-03-29 12:10:59,5.54,5.01,0.52,34.87,33.37,-1.2,345.18,383.52,,
 2021-03-29 12:11:00,5.54,5.01,0.52,34.69,33.12,-1.2,345.18,383.52,,
 2021-03-29 12:11:01,5.54,5.01,0.52,34.69,33.12,-1.2,345.18,383.52,,
 2021-03-29 12:11:02,5.54,5.01,0.52,34.92,33.12,-1.2,345.06,383.4,,
 2021-03-29 12:11:03,5.54,5.01,0.52,34.92,33.12,-1.2,345.06,383.4,,
 2021-03-29 12:11:04,5.54,5.01,0.52,34.92,33.12,-1.2,345.3,383.29,,
 2021-03-29 12:11:05,5.54,5.01,0.52,34.92,33.12,-1.2,345.3,383.29,,
 2021-03-29 12:11:06,5.54,5.01,0.52,35.09,33.12,-1.2,345.3,383.76,,
 2021-03-29 12:11:07,5.54,5.01,0.52,35.09,33.12,-1.2,345.3,383.76,,
 2021-03-29 12:11:08,5.54,5.01,0.52,35.09,33.12,-1.2,345.18,384.12,,
 2021-03-29 12:11:09,5.54,5.01,0.52,35.09,33.12,-1.2,345.18,384.12,,
 2021-03-29 12:11:10,5.54,5.01,0.52,35.09,33.12,-1.2,345.3,383.76,,
 2021-03-29 12:11:11,5.54,5.01,0.52,35.09,33.12,-1.2,345.3,383.76,,
 2021-03-29 12:11:12,5.54,5.01,0.52,35.04,33.12,-1.2,345.3,383.52,,
 2021-03-29 12:11:13,5.54,5.01,0.52,35.04,33.12,-1.2,345.3,383.52,,
 2021-03-29 12:11:14,5.54,5.01,0.52,35.04,33.12,-1.2,345.06,384.12,,
 2021-03-29 12:11:15,5.54,5.01,0.52,35.04,33.12,-1.2,345.06,384.12,,
 2021-03-29 12:11:16,5.54,5.01,0.52,35.04,33.12,-1.2,345.06,383.76,,
 2021-03-29 12:11:17,5.54,5.01,0.52,35.04,33.12,-1.2,345.06,383.76,,
 2021-03-29 12:11:18,5.54,5.01,0.52,35.04,33.12,-1.2,345.06,383.4,,
 2021-03-29 12:11:19,5.54,5.01,0.52,35.04,33.12,-1.2,345.06,383.4,,
 2021-03-29 12:11:20,5.54,5.01,0.52,34.92,33.12,-1.2,345.3,383.4,,
 2021-03-29 12:11:21,5.54,5.01,0.52,34.92,33.12,-1.2,345.3,383.4,,
 2021-03-29 12:11:22,5.54,5.01,0.52,34.69,33,-1.2,345.41,383.05,,
 2021-03-29 12:11:23,5.54,5.01,0.52,34.69,33,-1.2,345.41,383.05,,
 2021-03-29 12:11:24,5.54,5.01,0.52,35.12,33,-1.2,345.41,383.4,,
 2021-03-29 12:11:25,5.54,5.01,0.52,35.12,33,-1.2,345.41,383.4,,
 2021-03-29 12:11:26,5.54,5.01,0.52,35.33,33.32,-1.2,345.3,383.4,,
 2021-03-29 12:11:27,5.54,5.01,0.52,35.33,33.32,-1.2,345.3,383.4,,
 2021-03-29 12:11:28,5.55,5.01,0.52,35.33,33.32,-1.2,346.49,382.93,,
 2021-03-29 12:11:29,5.55,5.01,0.52,35.33,33.32,-1.2,346.49,382.93,,
 2021-03-29 12:11:30,5.55,5.01,0.52,35.04,33.32,-1.2,345.3,383.4,,
 2021-03-29 12:11:31,5.55,5.01,0.52,35.04,33.32,-1.2,345.3,383.4,,
 2021-03-29 12:11:32,5.55,5.01,0.52,35.04,33.32,-1.2,346.96,383.4,,
 2021-03-29 12:11:33,5.55,5.01,0.52,35.04,33.32,-1.2,346.96,383.4,,
 2021-03-29 12:11:34,5.55,5.01,0.52,35.04,33.32,-1.2,346.01,383.05,,
 2021-03-29 12:11:35,5.55,5.01,0.52,35.04,33.32,-1.2,346.01,383.05,,
 2021-03-29 12:11:36,5.55,5.01,0.52,35.04,33.32,-1.2,346.84,384.24,,
 2021-03-29 12:11:37,5.55,5.01,0.52,35.04,33.32,-1.2,346.84,384.24,,
 2021-03-29 12:11:38,5.55,5.01,0.52,35.04,33.32,-1.2,347.32,383.88,,
 2021-03-29 12:11:39,5.55,5.01,0.52,35.04,33.32,-1.2,347.32,383.88,,
 2021-03-29 12:11:40,5.55,5.01,0.52,35.04,33.32,-1.2,347.08,383.52,,
 2021-03-29 12:11:41,5.55,5.01,0.52,35.04,33.32,-1.2,347.08,383.52,,
 2021-03-29 12:11:42,5.55,5.01,0.52,35.04,33.32,-1.2,347.2,383.88,,
 2021-03-29 12:11:43,5.55,5.01,0.52,35.04,33.32,-1.2,347.2,383.88,,
 2021-03-29 12:11:44,5.55,5.01,0.52,35.04,33.32,-1.2,347.32,384.12,,
 2021-03-29 12:11:45,5.55,5.01,0.52,35.04,33.32,-1.2,347.32,384.12,,
 2021-03-29 12:11:46,5.55,5.01,0.52,34.81,33.04,-1.2,347.44,383.88,,14
 2021-03-29 12:11:47,5.55,5.01,0.52,34.81,33.04,-1.2,347.44,383.88,,14
 2021-03-29 12:11:48,5.55,5.01,0.52,34.81,33.04,-1.2,347.56,383.52,,14
 2021-03-29 12:11:49,5.55,5.01,0.52,34.81,33.04,-1.2,347.56,383.52,,14
 2021-03-29 12:11:50,5.55,5.01,0.52,34.86,33.04,-1.2,348.51,383.4,3.45,14
 2021-03-29 12:11:51,5.55,5.01,0.52,34.86,33.04,-1.2,348.51,383.4,3.45,14
