Time,Feed (lpm),Concentrate (lpm),Permeate (lpm),Membrane Feed (psig),Concentrate (psig),Permeate (psig),Feed (ppm),Concentrate (ppm),Permeate (ppm),Permeate Temp (C)
 2021-03-29 11:13:14,4.71,4.35,0.45,25.54,24.32,-1.19,342.32,371.5,6.57,17.38
 2021-03-29 11:13:16,4.71,4.35,0.45,28.33,25.52,-1.19,342.79,371.61,6.57,17.38
 2021-03-29 11:13:18,4.71,4.35,0.45,28.33,26.42,-1.19,343.87,371.61,6.57,17.38
 2021-03-29 11:13:20,4.89,4.35,0.45,27.77,26.53,-1.19,342.91,372.09,6.57,17.38
 2021-03-29 11:13:22,4.89,4.35,0.45,27.66,26.53,-1.19,344.58,370.3,6.57,17.38
 2021-03-29 11:13:24,4.89,4.35,0.45,27.53,26.33,-1.19,345.89,370.3,6.57,17.38
 2021-03-29 11:13:26,4.89,4.35,0.45,27.53,26.33,-1.19,345.3,370.3,6.57,17.38
 2021-03-29 11:13:28,4.89,4.35,0.45,27.74,26.33,-1.19,345.3,370.9,6.57,17.38
 2021-03-29 11:13:30,4.89,4.35,0.45,27.87,26.33,-1.19,346.25,371.5,6.57,17.38
 2021-03-29 11:13:32,4.89,4.35,0.45,28.35,26.67,-1.19,345.3,371.5,6.57,17.38
 2021-03-29 11:13:34,4.89,4.35,0.45,28.67,27.12,-1.19,346.37,371.61,6.57,17.38
 2021-03-29 11:13:36,4.89,4.35,0.45,28.67,27.12,-1.19,347.08,371.73,6.57,17.38
 2021-03-29 11:13:38,6.09,4.7,0.45,42.21,34.47,-0.86,346.25,371.73,6.57,17.38
 2021-03-29 11:13:40,6.09,5.1,0.72,42.02,37.7,-0.98,346.72,372.92,6.21,17.38
 2021-03-29 11:13:42,6.09,5.3,0.72,42.02,38.93,-0.98,346.84,373.88,6.21,17.38
 2021-03-29 11:13:44,6.09,5.4,0.72,42.02,39.42,-0.98,346.49,373.88,6.21,17.38
 2021-03-29 11:13:46,6.09,5.4,0.72,42.37,39.7,-0.98,347.08,377.57,6.21,17.38
 2021-03-29 11:13:48,6.09,5.4,0.72,42.26,39.83,-0.98,344.82,380.07,6.21,17.38
 2021-03-29 11:13:50,6.09,5.4,0.72,42.26,39.83,-0.98,346.37,379,6.21,17.38
 2021-03-29 11:13:52,6.09,5.4,0.72,42.09,39.83,-0.98,346.01,382.57,6.21,17.38
 2021-03-29 11:13:54,6.09,5.4,0.72,42.09,39.83,-0.98,344.94,383.88,6.21,17.38
 2021-03-29 11:13:56,6.09,5.4,0.72,42.09,39.83,-0.98,346.61,383.76,6.21,17.38
 2021-03-29 11:13:58,6.09,5.4,0.72,42.09,39.83,-0.98,347.08,385.91,6.21,17.38
 2021-03-29 11:14:00,6.09,5.4,0.72,42.09,39.83,-0.98,346.25,387.93,6.21,17.38
 2021-03-29 11:14:02,6.09,5.4,0.72,42.09,39.83,-0.98,346.01,385.91,6.21,16.16
 2021-03-29 11:14:04,6.09,5.4,0.72,42.09,39.83,-0.98,346.13,387.69,6.21,16.16
 2021-03-29 11:14:06,6.09,5.4,0.72,42.09,39.83,-0.98,345.77,387.93,6.21,16.16
 2021-03-29 11:14:08,6.09,5.4,0.72,42.09,39.83,-0.98,345.89,387.57,6.21,16.16
 2021-03-29 11:14:10,6.09,5.4,0.72,42.09,39.83,-0.98,345.18,389.48,6.21,16.16
 2021-03-29 11:14:12,6.09,5.4,0.72,42.09,39.83,-0.98,344.94,389.24,6.21,16.16
 2021-03-29 11:14:14,6.09,5.4,0.72,42.09,39.83,-0.98,345.06,389.48,6.21,16.16
 2021-03-29 11:14:16,6.09,5.4,0.72,41.52,39.38,-0.98,345.06,389.36,6.21,16.16
 2021-03-29 11:14:18,6.09,5.4,0.72,41.03,39.02,-0.98,344.82,388.88,6.21,16.16
 2021-03-29 11:14:20,6.09,5.4,0.72,40.61,38.64,-0.98,345.18,389.36,6.21,16.16
 2021-03-29 11:14:22,6.09,5.4,0.72,40.27,38.32,-0.98,345.06,389.95,6.21,16.16
 2021-03-29 11:14:24,6.09,5.4,0.72,40.15,38.11,-0.98,344.7,388.64,6.21,16.16
 2021-03-29 11:14:26,6.09,5.4,0.72,40.15,37.99,-0.98,344.46,389.36,6.21,16.16
 2021-03-29 11:14:28,6.09,5.4,0.72,40.15,37.99,-0.98,344.22,390.07,6.21,16.16
 2021-03-29 11:14:30,6.09,5.4,0.72,40.15,37.99,-0.98,344.58,389.12,6.21,16.16
 2021-03-29 11:14:32,6.09,5.4,0.72,40.15,37.99,-0.98,344.22,390.43,6.21,16.16
 2021-03-29 11:14:34,6.09,5.4,0.72,40.15,37.99,-0.98,343.75,389.84,6.21,16.16
 2021-03-29 11:14:36,6.09,5.4,0.72,40.15,37.99,-0.98,344.46,388.64,6.21,17.07
 2021-03-29 11:14:38,6.09,5.4,0.72,40.15,37.99,-0.98,344.1,389.12,6.21,17.07
 2021-03-29 11:14:40,6.09,5.4,0.72,40.15,37.99,-0.98,343.87,389.36,6.21,17.07
 2021-03-29 11:14:42,6.09,5.4,0.64,40.15,37.99,-0.89,343.87,388.64,6.22,17.07
 2021-03-29 11:14:44,6.09,5.4,0.64,40.15,37.99,-0.89,344.46,389.24,6.22,17.07
 2021-03-29 11:14:46,6.09,5.4,0.64,40.15,37.99,-0.89,343.87,388.64,6.22,17.07
 2021-03-29 11:14:48,6.09,5.4,0.64,40.15,37.99,-0.89,343.87,388.29,6.22,17.07
 2021-03-29 11:14:50,6.09,5.4,0.64,39.97,37.99,-0.89,344.46,389,6.22,17.07
 2021-03-29 11:14:52,6.09,5.4,0.64,39.97,37.99,-0.89,343.87,387.93,6.22,17.07
 2021-03-29 11:14:54,6.09,5.4,0.64,40.09,37.99,-0.89,344.82,387.45,6.22,17.07
 2021-03-29 11:14:56,6.09,5.4,0.64,40.09,37.99,-0.89,343.39,387.81,6.22,17.07
 2021-03-29 11:14:58,6.09,5.4,0.64,40.09,37.99,-0.89,344.1,387.33,6.22,17.07
 2021-03-29 11:15:00,6.09,5.4,0.64,40.09,37.99,-0.89,343.99,386.98,6.22,17.07
 2021-03-29 11:15:02,6.09,5.4,0.64,40.31,37.99,-0.89,343.87,387.22,6.22,17.07
