Pressure (psig),Feed Conc. (ppm),Permeate Conc. (ppm),Concentrate Conc. (ppm),Feed Flow (l/min),Concentrate Flow (l/min),Permeate Flow (l/min),Recycle Flow (l/min)
85.25691986,319.0949097,2.456702948,364.4689026,8.964119911,7.842871189,1.176797032,-0.000657989
85.4905777,317.9039001,2.430476904,364.4689026,8.985263824,7.854028225,1.175449014,-0.000657989
69.5925827,319.0949097,2.590219975,361.2533875,7.960175037,7.067807198,0.947438002,-0.000657989
85.43335724,317.7849121,2.456702948,364.4689026,8.988325119,7.854028225,1.185070992,-0.000657989
69.59735107,319.0949097,2.587836027,360.5387878,8.029690742,7.067807198,0.95673579,-0.000657989
100.6685028,319.3330994,2.306497097,369.7088928,9.931816101,8.556990623,1.398221016,-0.000657989
69.6593399,319.2139893,2.571146011,361.6106873,8.042370796,7.069522858,0.971962571,-0.000657989
85.31891632,318.4993896,2.444782019,364.3497925,9.020480156,7.841154099,1.175039053,-0.000657989
50.01335144,317.4276123,2.807183981,352.2023926,6.542713165,5.956283092,0.671579778,-0.000657989
85.54302979,317.1893921,2.444782019,364.4689026,8.937013626,7.854028225,1.167659044,-0.000657989
69.6593399,318.8566895,2.571146011,361.6106873,8.117530823,7.069522858,0.973652124,-0.000657989
85.19493103,317.3085022,2.444782019,364.2307129,8.920161247,7.840581894,1.174191952,-0.000657989
101.1977997,318.9757996,2.378024101,369.8280029,9.953436852,8.565860748,1.413354039,-0.000657989
69.59735107,319.0949097,2.590219975,361.2533875,7.993522167,7.067807198,0.965740383,-0.000657989
50.43774033,318.0230103,2.463855982,360.181488,6.705114841,6.178874016,0.671564281,-0.000657989
85.54302979,317.5466919,2.416172028,364.4689026,9.008953094,7.854028225,1.180866957,-0.000657989
69.65457153,319.0949097,2.559225082,361.3724976,8.02865696,7.062085152,0.970067382,-0.000657989
69.60211945,319.2139893,2.578299046,361.3724976,7.976669788,7.069522858,0.960007429,-0.000657989
50.00857925,317.9039001,2.828641891,352.6788025,6.605073929,5.958858013,0.674754202,-0.000657989
69.6593399,319.2139893,2.571146011,361.1343079,7.96164608,7.069522858,0.970929921,-0.000657989
85.43335724,317.9039001,2.456702948,364.7070007,9.058197975,7.854028225,1.178840041,-0.000657989
85.35706329,318.1420898,2.435245037,364.7070007,8.998739243,7.854028225,1.185312986,-0.000657989
99.19032288,319.3330994,2.349412918,367.2080078,9.384633064,8.403924942,1.405580044,-0.000657989
85.19493103,316.9512024,2.444782019,363.8734131,8.980257034,7.832283974,1.173794985,-0.000657989
101.3742981,319.0949097,2.368486881,368.9943848,9.935710907,8.567864418,1.402412057,-0.000657989
85.1996994,317.3085022,2.435245037,363.754303,8.995041847,7.844015121,1.163534999,-0.000657989
49.87030029,318.1420898,2.857253075,352.5596924,6.561592102,5.959144115,0.671403289,-0.000657989
101.0690994,319.0949097,2.351798058,369.947113,9.930822372,8.561570168,1.403563976,-0.000657989
85.19493103,317.6657104,2.444782019,363.754303,8.955256462,7.842871189,1.17068696,-0.000657989
49.84645844,317.4276123,2.857253075,352.2023926,6.6196208,5.959144115,0.669491529,-0.000657989
69.6593399,318.9757996,2.571146011,361.6106873,8.034062386,7.069522858,0.963077307,-0.000657989
69.5925827,319.0949097,2.590219975,361.9678955,7.991971016,7.069522858,0.96272701,-0.000657989
69.99790192,318.6184998,2.475776911,361.0151978,8.040660858,7.07553196,0.967755079,-0.000657989
69.5925827,319.3330994,2.580682993,361.1343079,8.034778595,7.069522858,0.957707226,-0.000657989
