Date,AllGasoline,RegularGasoline,MidgradeGasoline,PremiumGasoline,Diesel,Inflation
1/2/95,1.127,1.079,1.17,1.272,1.104,1.687380861
1/9/95,1.134,1.086,1.177,1.279,1.102,1.686731869
1/16/95,1.126,1.078,1.168,1.271,1.1,1.686083126
1/23/95,1.132,1.083,1.177,1.277,1.095,1.685434632
1/30/95,1.131,1.083,1.176,1.275,1.09,1.684786388
2/6/95,1.124,1.076,1.169,1.27,1.086,1.684138393
2/13/95,1.121,1.074,1.166,1.265,1.088,1.683490648
2/20/95,1.115,1.067,1.16,1.259,1.088,1.682843151
2/27/95,1.121,1.073,1.164,1.265,1.089,1.682195904
3/6/95,1.123,1.076,1.167,1.263,1.089,1.681548906
3/13/95,1.116,1.069,1.158,1.256,1.088,1.680902156
3/20/95,1.114,1.068,1.158,1.254,1.085,1.680255655
3/27/95,1.121,1.075,1.162,1.259,1.088,1.679609403
4/3/95,1.133,1.087,1.174,1.27,1.094,1.678963399
4/10/95,1.149,1.103,1.19,1.286,1.101,1.678317644
4/17/95,1.163,1.117,1.205,1.3,1.106,1.677672137
4/24/95,1.184,1.138,1.226,1.323,1.115,1.677026879
5/1/95,1.194,1.148,1.236,1.332,1.119,1.676381869
5/8/95,1.216,1.169,1.259,1.356,1.126,1.675737106
5/15/95,1.226,1.179,1.269,1.364,1.126,1.675092592
5/22/95,1.244,1.197,1.288,1.383,1.124,1.674448326
5/29/95,1.246,1.199,1.29,1.386,1.13,1.673804307
6/5/95,1.246,1.199,1.29,1.386,1.124,1.673160536
6/12/95,1.243,1.196,1.288,1.383,1.122,1.672517013
6/19/95,1.236,1.189,1.28,1.376,1.117,1.671873737
6/26/95,1.229,1.182,1.273,1.37,1.112,1.671230709
7/3/95,1.222,1.175,1.266,1.362,1.106,1.670587928
7/10/95,1.212,1.165,1.255,1.352,1.103,1.669945394
7/17/95,1.2,1.153,1.244,1.342,1.099,1.669303107
7/24/95,1.191,1.144,1.236,1.333,1.098,1.668661068
7/31/95,1.179,1.132,1.222,1.319,1.093,1.668019275
8/7/95,1.174,1.127,1.217,1.316,1.099,1.667377729
8/14/95,1.172,1.125,1.215,1.312,1.106,1.66673643
8/21/95,1.171,1.124,1.214,1.311,1.106,1.666095377
8/28/95,1.163,1.117,1.205,1.305,1.109,1.665454571
9/4/95,1.16,1.113,1.202,1.3,1.115,1.664814012
9/11/95,1.158,1.111,1.201,1.298,1.119,1.664173699
9/18/95,1.157,1.11,1.2,1.297,1.122,1.663533632
9/25/95,1.156,1.109,1.198,1.296,1.121,1.662893812
10/2/95,1.151,1.105,1.192,1.29,1.117,1.662254237
10/9/95,1.144,1.097,1.185,1.283,1.117,1.661614908
10/16/95,1.133,1.087,1.175,1.273,1.117,1.660975826
10/23/95,1.125,1.079,1.165,1.263,1.114,1.660336989
10/30/95,1.115,1.068,1.157,1.255,1.11,1.659698398
11/6/95,1.112,1.065,1.153,1.252,1.118,1.659060052
11/13/95,1.109,1.063,1.151,1.248,1.118,1.658421952
11/20/95,1.106,1.06,1.149,1.244,1.119,1.657784098
11/27/95,1.107,1.061,1.149,1.243,1.124,1.657146488
12/4/95,1.108,1.062,1.151,1.246,1.123,1.656509124
12/11/95,1.11,1.063,1.154,1.248,1.124,1.655872005
12/18/95,1.124,1.078,1.167,1.262,1.13,1.655235132
12/25/95,1.128,1.082,1.17,1.265,1.141,1.654598503
1/1/96,1.129,1.083,1.171,1.268,1.148,1.653962119
1/8/96,1.139,1.093,1.181,1.277,1.146,1.653325979
1/15/96,1.145,1.098,1.186,1.285,1.152,1.652690085
1/22/96,1.138,1.091,1.179,1.278,1.144,1.652054435
1/29/96,1.133,1.087,1.176,1.272,1.136,1.651419029
2/5/96,1.13,1.083,1.172,1.269,1.13,1.650783868
2/12/96,1.126,1.08,1.169,1.265,1.134,1.650148951
2/19/96,1.133,1.087,1.177,1.271,1.151,1.649514278
2/26/96,1.153,1.107,1.197,1.291,1.164,1.64887985
3/4/96,1.17,1.124,1.213,1.308,1.175,1.648245665
3/11/96,1.171,1.125,1.213,1.308,1.173,1.647611725
3/18/96,1.181,1.135,1.222,1.317,1.172,1.646978028
3/25/96,1.21,1.164,1.25,1.345,1.21,1.646344575
4/1/96,1.223,1.178,1.263,1.357,1.222,1.645711365
4/8/96,1.248,1.204,1.289,1.381,1.249,1.645078399
4/15/96,1.287,1.242,1.329,1.422,1.305,1.644445677
4/22/96,1.301,1.256,1.341,1.438,1.304,1.643813198
4/29/96,1.318,1.273,1.356,1.455,1.285,1.643180962
5/6/96,1.321,1.275,1.359,1.458,1.292,1.642548969
5/13/96,1.323,1.277,1.361,1.461,1.285,1.64191722
5/20/96,1.33,1.285,1.369,1.468,1.274,1.641285713
5/27/96,1.321,1.275,1.358,1.458,1.254,1.640654449
